INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766001, 13, 'Future Brand Orchestrator', 'Maryadi Marpaung', 'Bukunesia', 13, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766002, 47, 'Corporate Quality Administrator', 'Vera Wijayanti S.Kom', 'Quanta', 14, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766003, 9, 'Forward Creative Designer', 'Daru Simanjuntak', 'Inari', 5, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766006, 12, 'Corporate Intranet Representative', 'Septi Mandasari', 'Falcon', 12, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766004, 1, 'Forward Marketing Officer', 'Setya Airlangga', 'Gramedia', 2, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766005, 47, 'Customer Program Associate', 'Zelda Aryanti', 'Deepublish', 15, 2013);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766007, 4, 'Corporate Configuration Designer', 'Harja Sihombing', 'Haru', 1, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766008, 45, 'Dynamic Brand Designer', 'Aswani Rajata', 'Gagas Media', 6, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766009, 12, 'Future Division Officer', 'Amalia Wijayanti', 'Grasindo', 8, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766010, 45, 'Investor Interactions Orchestrator', 'Indira Febrianti', 'Bukunesia', 2, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766011, 40, 'District Operations Consultant', 'Lamar Saragih', 'Mizan', 12, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766012, 31, 'Principal Configuration Executive', 'Hasan Firmansyah', 'Haru', 3, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766013, 48, 'Lead Data Consultant', 'Gangsar Dirgantara', 'Deepublish', 9, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766014, 24, 'Regional Research Analyst', 'Diana Pertiwi S.H.', 'Grasindo', 7, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766015, 1, 'Customer Accounts Agent', 'Sasha Fujiati M.M.', 'Bukunesia', 9, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766016, 12, 'National Group Developer', 'Capa Halim', 'Gradien Mediatama', 14, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766017, 36, 'National Operations Administrator', 'Eluh Ardana', 'Metagram', 11, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766018, 11, 'Lead Brand Manager', 'Umi Anjani', 'Bukunesia', 10, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766019, 29, 'Senior Program Technician', 'Nada Safitri', 'Kata Depan', 4, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766020, 16, 'Corporate Factors Facilitator', 'Edi Tamba', 'Erlangga', 1, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766021, 12, 'Senior Intranet Coordinator', 'Cawisadi Utama', 'Gradien Mediatama', 6, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766022, 7, 'Forward Brand Producer', 'Nrima Maulana', 'Gradien Mediatama', 14, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766023, 16, 'Dynamic Quality Assistant', 'Wulan Elvina S.E.I', 'Bukunesia', 9, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766024, 23, 'District Factors Representative', 'Ellis Ningrum', 'Inari', 7, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766025, 31, 'Investor Usability Developer', 'Kasiyah Jelita', 'Bukunesia', 15, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766027, 17, 'International Implementation Director', 'Safina Purnawati S.IP', 'Erlangga', 3, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766026, 24, 'Customer Accountability Manager', 'Yono Yudhistira', 'Inari', 12, 2009);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766028, 35, 'Direct Optimization Coordinator', 'Vera Mandasari', 'Haru', 14, 2011);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766029, 7, 'International Interactions Administrator', 'Jagapati Lesmana', 'Gagas Media', 5, 2013);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766030, 15, 'Chief Response Consultant', 'Noviana Hartati', 'Haru', 7, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766031, 45, 'Internal Quality Coordinator', 'Yuliana Nurdiyanti', 'Gramedia', 14, 2013);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766032, 15, 'Internal Accountability Analyst', 'Aisyah Maharani', 'Inari', 11, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766033, 25, 'Legacy Optimization Designer', 'Lasmanto Irfandi S.H.', 'Deepublish', 12, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766034, 7, 'Dynamic Creative Consultant', 'Jarwa Utama', 'Haru', 3, 2016);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766035, 41, 'International Creative Architect', 'Vino Pangestu', 'Quanta', 13, 2018);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766036, 32, 'Central Factors Administrator', 'Wakiman Haikal', 'Grasindo', 8, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766037, 28, 'International Web Facilitator', 'Tina Sudiati S.Kom', 'Grasindo', 13, 2017);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766038, 5, 'Global Response Specialist', 'Jaka Gunawan', 'Haru', 3, 2022);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766039, 46, 'International Response Coordinator', 'Yunita Permata', 'Haru', 4, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766040, 18, 'Dynamic Assurance Consultant', 'Nadine Mahestri', 'Bintang Media', 10, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766041, 31, 'Direct Directives Designer', 'Jaeman Nugraha', 'Gagas Media', 5, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766043, 25, 'Lead Branding Administrator', 'Jindra Nanda S.E.I', 'Falcon', 10, 2014);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766042, 25, 'Investor Functionality Engineer', 'Farah Farida', 'Mizan', 5, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766044, 9, 'International Creative Associate', 'Ajimat Lesmana M.Farm', 'Bintang Media', 12, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766046, 37, 'Regional Paradigm Specialist', 'Halim Iswahyudi', 'Falcon', 13, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766045, 29, 'Central Security Engineer', 'Rahmawati Pertiwi', 'Gradien Mediatama', 1, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766047, 37, 'Future Metrics Developer', 'Latika Sudiati', 'Metagram', 6, 2020);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766048, 12, 'Direct Infrastructure Coordinator', 'Opan Budiman S.Psi', 'Kata Depan', 3, 2002);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766049, 3, 'Senior Implementation Planner', 'Titi Namaga', 'Grasindo', 15, 2010);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766050, 16, 'Future Functionality Engineer', 'Hairyanto Wardana', 'Mizan', 13, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766051, 33, 'Customer Metrics Developer', 'Sartika Wijayanti', 'Kata Depan', 11, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766052, 45, 'Regional Paradigm Specialist', 'Kambali Gunawan', 'Grasindo', 4, 2008);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766053, 32, 'Forward Integration Designer', 'Luthfi Haryanto', 'Gramedia', 8, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766054, 38, 'Future Identity Consultant', 'Qori Azzahra', 'Kata Depan', 3, 2018);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766055, 25, 'Legacy Infrastructure Facilitator', 'Rama Nugroho', 'Mizan', 2, 2001);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766056, 32, 'Chief Data Engineer', 'Galiono Marbun S.T.', 'Quanta', 3, 2000);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766057, 22, 'Product Branding Representative', 'Betania Azizah S.T.', 'Quanta', 8, 2021);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766058, 46, 'District Group Technician', 'Edi Tarihoran', 'Bintang Media', 15, 2019);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766059, 39, 'Regional Creative Orchestrator', 'Edi Ramadan', 'Gagas Media', 6, 2003);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766060, 28, 'Forward Factors Consultant', 'Dadi Suryono', 'Gramedia', 4, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766062, 18, 'Legacy Branding Strategist', 'Harjasa Putra S.T.', 'Mizan', 1, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766063, 39, 'Internal Infrastructure Representative', 'Cawisono Irfandi', 'Twigora', 14, 2005);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766061, 18, 'Human Branding Planner', 'Vino Antoni', 'Bintang Media', 2, 2011);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766064, 36, 'Forward Paradigm Liaison', 'Virman Nababan', 'Quanta', 9, 2007);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766066, 17, 'Dynamic Branding Engineer', 'Gawati Damayanti', 'Falcon', 8, 2006);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766065, 29, 'International Data Administrator', 'Uli Mandasari', 'Quanta', 15, 2015);
INSERT INTO Buku (bu_kode_buku, bu_rb_id, bu_judul, bu_penulis, bu_penerbit, bu_stok, bu_tahun_terbit) VALUES (999888777766067, 39, 'Chief Metrics Technician', 'Jati Sinaga M.M.', 'Metagram', 9, 2021);
