INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (1, 'Sosial', 'Rak nomor 1 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (3, 'Sejarah', 'Rak nomor 3 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (4, 'Teknologi', 'Rak nomor 5 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (2, 'Teknologi', 'Rak nomor 4 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (7, 'Sosial', 'Rak nomor 2 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (5, 'Sejarah', 'Rak nomor 4 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (6, 'Bahasa', 'Rak nomor 3 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (8, 'Agama', 'Rak nomor 2 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (10, 'Sosial', 'Rak nomor 2 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (9, 'Bahasa', 'Rak nomor 5 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (11, 'Pelajaran', 'Rak nomor 1 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (13, 'Sejarah', 'Rak nomor 4 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (12, 'Agama', 'Rak nomor 3 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (14, 'Sejarah', 'Rak nomor 2 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (15, 'Sejarah', 'Rak nomor 2 barat');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (16, 'Sejarah', 'Rak nomor 1 selatan');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (17, 'Pelajaran', 'Rak nomor 2 utara');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (18, 'Teknologi', 'Rak nomor 3 timur');
INSERT INTO Rak_Buku (rb_id, rb_nama, rb_lokasi) VALUES (19, 'Teknologi', 'Rak nomor 2 selatan');
