INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53001, 188, 4240, '2022-11-23', '2022-11-16', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53002, 207, 4223, '2022-11-18', '2022-11-08', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53003, 124, 4205, '2022-11-19', '2022-11-14', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53004, 100, 4246, '2022-11-28', '2022-11-03', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53005, 124, 4217, '2022-11-26', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53007, 168, 4202, '2022-11-26', '2022-11-12', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53008, 20, 4239, '2022-11-25', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53006, 114, 4232, '2022-11-27', '2022-11-13', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53009, 289, 4228, '2022-11-17', '2022-11-13', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53010, 49, 4215, '2022-11-16', '2022-11-05', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53011, 236, 4217, '2022-11-26', '2022-11-11', '');
INSERT INTO Transaksi_Peminjaman (tp_id, tp_an_id, tp_pe_id, tp_tgl_kembali, tp_tgl_pinjam, tp_denda) VALUES (53013, 234, 4241, '2022-11-28', '2022-11-03', '');
